run_label,timestamp,layer_idx,layer_name,time_s,batch_size,total_time_s,ips
S4_+TRAIN_FLAG,2026-03-31T18:56:12,15,Dropout,0.0000036000,8,0.0638692379,125.2559176071
S4_+TRAIN_FLAG,2026-03-31T18:56:12,16,Dense,0.0001429000,8,0.0638692379,125.2559176071
S4_+TRAIN_FLAG,2026-03-31T18:56:12,17,Softmax,0.0003380999,8,0.0638692379,125.2559176071
S5_+CONV_IM2COL_OPT,2026-03-31T19:09:12,0,Conv2D,0.0130979000,8,0.0515224934,155.2719885609
S5_+CONV_IM2COL_OPT,2026-03-31T19:09:12,1,BatchNorm2D,0.0024624001,8,0.0515224934,155.2719885609
S5_+CONV_IM2COL_OPT,2026-03-31T19:09:12,2,ReLU,0.0009097001,8,0.0515224934,155.2719885609
S5_+CONV_IM2COL_OPT,2026-03-31T19:09:12,3,MaxPool2D,0.0125567000,8,0.0515224934,155.2719885609
S5_+CONV_IM2COL_OPT,2026-03-31T19:09:12,4,Conv2D,0.0035619999,8,0.0515224934,155.2719885609
S5_+CONV_IM2COL_OPT,2026-03-31T19:09:12,5,BatchNorm2D,0.0005076001,8,0.0515224934,155.2719885609
S5_+CONV_IM2COL_OPT,2026-03-31T19:09:12,6,ReLU,0.0002054998,8,0.0515224934,155.2719885609
S5_+CONV_IM2COL_OPT,2026-03-31T19:09:12,7,MaxPool2D,0.0076639999,8,0.0515224934,155.2719885609
S5_+CONV_IM2COL_OPT,2026-03-31T19:09:12,8,Conv2D,0.0026389998,8,0.0515224934,155.2719885609
S5_+CONV_IM2COL_OPT,2026-03-31T19:09:12,9,BatchNorm2D,0.0002629000,8,0.0515224934,155.2719885609
S5_+CONV_IM2COL_OPT,2026-03-31T19:09:12,10,ReLU,0.0001770998,8,0.0515224934,155.2719885609
S5_+CONV_IM2COL_OPT,2026-03-31T19:09:12,11,MaxPool2D,0.0039862001,8,0.0515224934,155.2719885609
S5_+CONV_IM2COL_OPT,2026-03-31T19:09:12,12,Flatten,0.0000130001,8,0.0515224934,155.2719885609
S5_+CONV_IM2COL_OPT,2026-03-31T19:09:12,13,Dense,0.0009403001,8,0.0515224934,155.2719885609
S5_+CONV_IM2COL_OPT,2026-03-31T19:09:12,14,ReLU,0.0000389998,8,0.0515224934,155.2719885609
S5_+CONV_IM2COL_OPT,2026-03-31T19:09:12,15,Dropout,0.0000028999,8,0.0515224934,155.2719885609
